Configuration,IsEqual,Precision,Recall,F-measure
00003,1,1.0,1.0,1.0
00005,0,1.0,0.9479166865348816,0.9732620120048523
00006,1,1.0,1.0,1.0
00007,0,1.0,0.9447513818740845,0.9715909361839294
00008,0,1.0,0.8602620363235474,0.9248826503753662
00009,1,1.0,1.0,1.0
00010,0,1.0,0.9367088675498962,0.9673202633857727
00011,0,1.0,0.9375,0.9677419066429138
00014,1,1.0,1.0,1.0
00015,0,1.0,0.6576923131942749,0.79350346326828
00017,0,1.0,0.6127451062202454,0.7598784565925598
00018,0,1.0,0.3313252925872803,0.4977375566959381
00019,1,1.0,1.0,1.0
00021,0,1.0,0.3598130941390991,0.5292096138000488
00022,0,1.0,0.3966861665248871,0.568039059638977
00023,1,1.0,1.0,1.0
00024,0,1.0,0.3866213262081146,0.5576451420783997
