Configuration,IsEqual,Precision,Recall,F-measure
00003,0,1.0,0.8208954930305481,0.9016393423080444
00005,0,1.0,0.7083333134651184,0.8292683362960815
00006,0,1.0,0.8387096524238586,0.9122807383537292
00007,0,1.0,0.8563535809516907,0.9226190447807312
00008,0,1.0,0.8558952212333679,0.9223529100418091
00009,0,1.0,0.9739201068878174,0.9867877960205078
00010,0,1.0,0.6835442781448364,0.8120300769805908
00011,0,1.0,0.6700000166893005,0.8023951649665833
00014,0,1.0,0.9300000071525574,0.9637305736541748
00015,0,1.0,0.6307692527770996,0.7735849022865295
00017,0,1.0,0.6127451062202454,0.7598784565925598
00018,0,1.0,0.3313252925872803,0.4977375566959381
00019,0,1.0,0.8139534592628479,0.8974359035491943
00021,0,1.0,0.3317756950855255,0.49824562668800354
00022,0,1.0,0.38856399059295654,0.5596630573272705
00023,0,0.993630588054657,0.8618784546852112,0.9230769276618958
00024,0,1.0,0.3790627419948578,0.54973965883255
