Configuration,IsEqual,Precision,Recall,F-measure
00001,0,1.0,0.998826265335083,0.9994127750396729
00002,0,1.0,0.992171049118042,0.996070146560669
00003,0,1.0,0.9948927760124207,0.9974398016929626
00004,0,1.0,0.9967542886734009,0.9983745217323303
00005,1,1.0,1.0,1.0
00006,1,1.0,1.0,1.0
00007,1,1.0,1.0,1.0
00008,1,1.0,1.0,1.0
00009,1,1.0,1.0,1.0
00010,1,1.0,1.0,1.0
00011,1,1.0,1.0,1.0
00012,0,1.0,0.9964297413825989,0.998211681842804
00013,0,1.0,0.9940059781074524,0.9969940185546875
00014,0,1.0,0.9924050569534302,0.9961880445480347
00015,0,1.0,0.9981488585472107,0.9990735650062561
00016,1,1.0,1.0,1.0
00017,0,1.0,0.9965189695358276,0.9982564449310303
00018,0,1.0,0.9953488111495972,0.997668981552124
00019,1,1.0,1.0,1.0
00020,1,1.0,1.0,1.0
00021,0,1.0,0.9971929788589478,0.9985945224761963
00022,0,1.0,0.9953488111495972,0.997668981552124
00023,1,1.0,1.0,1.0
00024,1,1.0,1.0,1.0
00025,1,1.0,1.0,1.0
00026,0,1.0,0.997778594493866,0.9988880157470703
00027,0,1.0,0.9911842346191406,0.9955726265907288
00028,1,1.0,1.0,1.0
00029,1,1.0,1.0,1.0
00030,1,1.0,1.0,1.0
00031,1,1.0,1.0,1.0
00032,1,1.0,1.0,1.0
00033,1,1.0,1.0,1.0
00034,0,1.0,0.9962025284767151,0.9980976581573486
00035,0,1.0,0.9957844018936157,0.9978877305984497
00036,0,1.0,0.9962025284767151,0.9980976581573486
00037,0,1.0,0.9942666292190552,0.9971250891685486
00038,0,1.0,0.9949211478233337,0.9974541068077087
00039,1,1.0,1.0,1.0
00040,0,1.0,0.997778594493866,0.9988880157470703
00041,1,1.0,1.0,1.0
00042,1,1.0,1.0,1.0
00043,0,1.0,0.991771936416626,0.995868980884552
00044,0,1.0,0.995087742805481,0.9975378513336182
00045,0,1.0,0.996924102306366,0.9984596371650696
00046,1,1.0,1.0,1.0
00047,1,1.0,1.0,1.0
00048,0,1.0,0.9906976819038391,0.9953271150588989
00049,0,1.0,0.992171049118042,0.996070146560669
00050,0,1.0,0.9957844018936157,0.9978877305984497
00051,0,1.0,0.9911842346191406,0.9955726265907288
00052,1,1.0,1.0,1.0
00053,1,1.0,1.0,1.0
00054,0,1.0,0.9964297413825989,0.998211681842804
00055,0,1.0,0.9919753074645996,0.9959715008735657
00056,0,1.0,0.9971929788589478,0.9985945224761963
00057,0,1.0,0.9955182075500488,0.9977540969848633
00058,0,1.0,0.9938596487045288,0.9969203472137451
00059,1,1.0,1.0,1.0
00060,1,1.0,1.0,1.0
00061,0,1.0,0.9964297413825989,0.998211681842804
00062,0,1.0,0.9946373701095581,0.9973114728927612
00063,1,1.0,1.0,1.0
00064,0,1.0,0.9965189695358276,0.9982564449310303
00065,0,1.0,0.9946373701095581,0.9973114728927612
00066,1,1.0,1.0,1.0
00067,1,1.0,1.0,1.0
