Configuration,IsEqual,Precision,Recall,F-measure
00003,1,1.0,1.0,1.0
00005,1,1.0,1.0,1.0
00007,1,1.0,1.0,1.0
00008,0,1.0,0.8620689511299133,0.9259259700775146
00009,0,1.0,0.9032257795333862,0.9491525292396545
00011,1,1.0,1.0,1.0
00012,0,1.0,0.8666666746139526,0.9285714626312256
00015,1,1.0,1.0,1.0
00016,0,1.0,0.8709677457809448,0.931034505367279
00017,1,1.0,1.0,1.0
00019,1,1.0,1.0,1.0
00021,1,1.0,1.0,1.0
00023,1,1.0,1.0,1.0
00025,0,1.0,0.8666666746139526,0.9285714626312256
00026,0,1.0,0.90625,0.9508196711540222
00029,0,1.0,0.8709677457809448,0.931034505367279
00031,0,1.0,0.875,0.9333333373069763
