Configuration,IsEqual,Precision,Recall,F-measure
00003,0,0.75,0.9130434989929199,0.8235294222831726
00005,0,0.6800000071525574,0.7083333134651184,0.6938775181770325
00007,0,0.260869562625885,0.25,0.25531914830207825
00008,0,0.6499999761581421,0.4482758641242981,0.5306122303009033
00009,0,0.6399999856948853,0.5161290168762207,0.5714285373687744
00011,0,0.3863636255264282,0.6800000071525574,0.49275362491607666
00012,0,0.699999988079071,0.46666666865348816,0.5600000023841858
00015,0,0.6551724076271057,0.7599999904632568,0.703703761100769
00016,0,0.625,0.4838709533214569,0.5454545021057129
00017,0,0.3695652186870575,0.45945945382118225,0.40963855385780334
00019,0,0.46666666865348816,0.7368420958518982,0.5714285969734192
00021,0,0.75,0.9473684430122375,0.8372093439102173
00023,0,0.25806450843811035,0.42105263471603394,0.3199999928474426
00025,0,0.3461538553237915,0.30000001192092896,0.3214285969734192
00026,0,0.24137930572032928,0.21875,0.2295081913471222
00029,0,0.692307710647583,0.29032257199287415,0.40909090638160706
00031,0,0.28125,0.28125,0.28125
