Configuration,IsEqual,Precision,Recall,F-measure
00001,1,1.0,1.0,1.0
00002,0,0.9090909361839294,1.0,0.9523809552192688
00003,0,0.875,0.9333333373069763,0.9032257795333862
00005,0,0.8999999761581421,0.6000000238418579,0.7200000286102295
00007,1,1.0,1.0,1.0
00008,0,0.9090909361839294,1.0,0.9523809552192688
00010,0,0.8888888955116272,0.8421052694320679,0.8648648262023926
00011,0,0.8666666746139526,0.8666666746139526,0.8666666746139526
00013,0,0.9090909361839294,1.0,0.9523809552192688
00014,0,0.875,0.9333333373069763,0.9032257795333862
00017,0,1.0,0.6666666865348816,0.800000011920929
00018,0,1.0,0.9230769276618958,0.9600000381469727
00019,0,1.0,0.6000000238418579,0.75
00020,0,0.9285714030265808,0.9285714030265808,0.9285714030265808
